city,restaurant_serial,restaurant_name,restaurant_name_english,restaurant_url
אילת,116,קרמה אקספרס,crema-express-eilat,https://wolt.com/he/isr/eilat/restaurant/crema-express-eilat
אילת,117,פיצריית ארלין,arlin,https://wolt.com/he/isr/eilat/restaurant/arlin
אילת,118,ריבאר,rebar-eilat,https://wolt.com/he/isr/eilat/restaurant/rebar-eilat
אילת,119,טיקה מסאלה,tikka-masala-eilat,https://wolt.com/he/isr/eilat/restaurant/tikka-masala-eilat
אילת,120,סביח פרישמן,sabich-frishman-eilat,https://wolt.com/he/isr/eilat/restaurant/sabich-frishman-eilat
אילת,121,פסטות,pastot-almog-beach,https://wolt.com/he/isr/eilat/restaurant/pastot-almog-beach
אילת,122,מטבח הבית,home-kitcheneilat,https://wolt.com/he/isr/eilat/restaurant/home-kitcheneilat
אילת,123,שוקי חביתה,shuki-havita-eilat,https://wolt.com/he/isr/eilat/restaurant/shuki-havita-eilat
אילת,124,טאטי,tatti-eilat,https://wolt.com/he/isr/eilat/restaurant/tatti-eilat
אילת,125,המזנון של ישראל,hamiznon-shel-israel,https://wolt.com/he/isr/eilat/restaurant/hamiznon-shel-israel
אילת,126,זעפרן,zaafran-eilat,https://wolt.com/he/isr/eilat/restaurant/zaafran-eilat
אילת,127,סנדוויץ׳ חוף דרומי,south-beach-sandwich,https://wolt.com/he/isr/eilat/restaurant/south-beach-sandwich
אילת,128,ברביץ׳,bar-beach,https://wolt.com/he/isr/eilat/restaurant/bar-beach
אילת,129,פיצה האט,pizza-hut-eilat,https://wolt.com/he/isr/eilat/restaurant/pizza-hut-eilat
אילת,130,מקדונלדס,mcdonalds-big-eilat-kosher,https://wolt.com/he/isr/eilat/restaurant/mcdonalds-big-eilat-kosher
אילת,131,מקדונלדס,mcdonalds-jambo-eilat,https://wolt.com/he/isr/eilat/restaurant/mcdonalds-jambo-eilat
אילת,132,‫B-FRESH ,b-fresh-ice-mall-eilat,https://wolt.com/he/isr/eilat/restaurant/b-fresh-ice-mall-eilat
אילת,133,פריז טקסס בורגר,paris-texas-burger-eilat,https://wolt.com/he/isr/eilat/restaurant/paris-texas-burger-eilat
אילת,134,פיצה פפרוני,pizza-pepperoni-eilat,https://wolt.com/he/isr/eilat/restaurant/pizza-pepperoni-eilat
אילת,135,ניקנק,niknak-eilat,https://wolt.com/he/isr/eilat/restaurant/niknak-eilat
אילת,136,ניני קאי,nini-kai,https://wolt.com/he/isr/eilat/restaurant/nini-kai
אילת,137,סגה סושי,saga-sushi,https://wolt.com/he/isr/eilat/restaurant/saga-sushi
אילת,138,פיצה פונגי,pizza-fungi,https://wolt.com/he/isr/eilat/restaurant/pizza-fungi
אילת,139,פיצה פקטורי,pizza-factory-eilat,https://wolt.com/he/isr/eilat/restaurant/pizza-factory-eilat
אילת,140,צ׳ופאפי,chupapi,https://wolt.com/he/isr/eilat/restaurant/chupapi
אילת,141,המבורגר בלוויתן,hamburger-balivyatan,https://wolt.com/he/isr/eilat/restaurant/hamburger-balivyatan
אילת,142,הפינה,hapina-eilat,https://wolt.com/he/isr/eilat/restaurant/hapina-eilat
אילת,143,פיצה פיצה,pizza-pizza-eilat,https://wolt.com/he/isr/eilat/restaurant/pizza-pizza-eilat
אילת,144,פיצה דל פיירו,pizza-del-piero,https://wolt.com/he/isr/eilat/restaurant/pizza-del-piero
אילת,145,פיצה בל,pizza-belle,https://wolt.com/he/isr/eilat/restaurant/pizza-belle
אילת,146,מנסי בורגר,manci-burger,https://wolt.com/he/isr/eilat/restaurant/manci-burger
אילת,147,וולוושה,vlavashe-eilat,https://wolt.com/he/isr/eilat/restaurant/vlavashe-eilat
אילת,148,מלודי,melody,https://wolt.com/he/isr/eilat/restaurant/melody
אילת,149,גרקו,greco-eilat,https://wolt.com/he/isr/eilat/restaurant/greco-eilat
אילת,150,המבשלה,the-brewery-eilat,https://wolt.com/he/isr/eilat/restaurant/the-brewery-eilat
אילת,151,פרייד צ׳יקן,fry-chi,https://wolt.com/he/isr/eilat/restaurant/fry-chi
אילת,152,אנטריקוט,entrecote-eilat,https://wolt.com/he/isr/eilat/restaurant/entrecote-eilat
אילת,153,הג׳חנון של חני,hannis-jahnoon,https://wolt.com/he/isr/eilat/restaurant/hannis-jahnoon
אילת,154,כפרה בורגר,kapara-burger-eilat,https://wolt.com/he/isr/eilat/restaurant/kapara-burger-eilat
אילת,155,מייק׳ס פלייס,mikes-place,https://wolt.com/he/isr/eilat/restaurant/mikes-place
אילת,156,פיצה פרגו,pizza-prego-eilat,https://wolt.com/he/isr/eilat/restaurant/pizza-prego-eilat
אילת,157,לה סרדין,les-sardines-eilat,https://wolt.com/he/isr/eilat/restaurant/les-sardines-eilat
אילת,158,חוף ממן,maman-beach,https://wolt.com/he/isr/eilat/restaurant/maman-beach
אילת,159,פיטל׳ה,pitala,https://wolt.com/he/isr/eilat/restaurant/pitala
אילת,160,פאדיס,paddys,https://wolt.com/he/isr/eilat/restaurant/paddys
אילת,161,המטבחון של עמוס,amos-kitchen,https://wolt.com/he/isr/eilat/restaurant/amos-kitchen
אילת,162,קפה ויה קלרה,coffee-via-clara,https://wolt.com/he/isr/eilat/restaurant/coffee-via-clara
אילת,163,חצי חצי | ברויטמן,hetzi-hetzi-by-broytman,https://wolt.com/he/isr/eilat/restaurant/hetzi-hetzi-by-broytman
אילת,164,חוף מיה | סושי,mia-beach,https://wolt.com/he/isr/eilat/restaurant/mia-beach
אילת,165,בסט פיצה,best-pizza,https://wolt.com/he/isr/eilat/restaurant/best-pizza
אילת,166,המחבוא של אדי,eddies-hide-a-way,https://wolt.com/he/isr/eilat/restaurant/eddies-hide-a-way
אילת,167,בנדט אוכל בלחם,falafel-shawarma-bapina,https://wolt.com/he/isr/eilat/restaurant/falafel-shawarma-bapina
